"","eigenValues","cumSumEigen","percentVariance","cumPercentVariation"
"1",7.29016003372799,7.29016003372799,0.2430053344576,0.2430053344576
"2",4.86385961384599,12.154019647574,0.162128653794866,0.405133988252466
"3",2.87956256917541,15.0335822167494,0.0959854189725138,0.50111940722498
"4",1.80563794046865,16.839220157218,0.060187931348955,0.561307338573935
"5",1.19557535435507,18.0347955115731,0.0398525118118357,0.60115985038577
"6",1.07181489404794,19.106610405621,0.0357271631349314,0.636887013520702
"7",1.05204651717965,20.1586569228007,0.0350682172393215,0.671955230760023
"8",0.948562494258417,21.1072194170591,0.0316187498086139,0.703573980568637
"9",0.877584151377725,21.9848035684368,0.0292528050459242,0.732826785614561
"10",0.780201051003114,22.7650046194399,0.0260067017001038,0.758833487314665
"11",0.6836452953761,23.448649914816,0.0227881765125367,0.781621663827202
"12",0.646770056040995,24.095419970857,0.0215590018680332,0.803180665695235
"13",0.606717519974344,24.7021374908314,0.0202239173324782,0.823404583027713
"14",0.543857857863227,25.2459953486946,0.0181285952621076,0.841533178289821
"15",0.485446805834453,25.7314421545291,0.0161815601944818,0.857714738484302
"16",0.468090917513487,26.1995330720426,0.0156030305837829,0.873317769068085
"17",0.445157640334596,26.6446907123771,0.0148385880111532,0.888156357079239
"18",0.437661214680607,27.0823519270578,0.0145887071560202,0.902745064235259
"19",0.389618120144457,27.4719700472022,0.0129872706714819,0.915732334906741
"20",0.365467916487589,27.8374379636898,0.0121822638829196,0.92791459878966
"21",0.358358664941795,28.1957966286316,0.0119452888313932,0.939859887621054
"22",0.346196821037441,28.541993449669,0.0115398940345814,0.951399781655635
"23",0.32767692304354,28.8696703727126,0.0109225641014513,0.962322345757086
"24",0.295639865147219,29.1653102378598,0.00985466217157398,0.97217700792866
"25",0.232238580126886,29.3975488179867,0.00774128600422953,0.97991829393289
"26",0.200591394384629,29.5981402123713,0.00668637981282096,0.986604673745711
"27",0.163415494426351,29.7615557067977,0.00544718314754504,0.992051856893256
"28",0.122053931588733,29.8836096383864,0.0040684643862911,0.996120321279547
"29",0.0871858853855506,29.9707955237719,0.00290619617951836,0.999026517459065
"30",0.029204476228041,30,0.000973482540934699,1
